"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"STORE_ID";"SUPPLIER";"TME_EU";
"1";"";"PINHD-1X8";"1X08-BIG";"JP3";"Pin header 1x8 0.1";"";"";"unknown";"";"";"";"";"";
"1";"";"PINHD-1X9";"1X09-BIG";"JP15";"Pin header 1x9 0.1"";"";"";"unknown";"";"";"";"";"";
"2";"";"PINHD-2X7";"2X07";"JP13, JP14";"PIN HEADER";"";"";"unknown";"";"";"";"";"ZL231-14PG";

"1";"12MHz";"CRYSTALHC49UV";"HC49U-V";"Y2";"Various standard cry";"";"";"unknown";"";"";"";"";"";
"1";"ATMEGA1284P-PU";"ATMEGA1284P-PU";"DIP254P1524X483-40";"U3";"8-bit Microcontrolle";"MICROCHIP";"ATMEGA1284P-PU";"1715481";"15R0264";"PDIP-40";"";"Atmel";"";
"1";"BATTERY-CHARGER-LI-PROT";"BATTERY-CHARGER-LI-PROT";"BATTERY-CHARGER-LI-PROT";"U$1";"Lithium Battery 5V C";"";"";"unknown";"";"";"";"";"";
"1";"DS18B20";"DS18B20";"TO-92-AMMO";"U2";"Dallas/Maxim DS18B20";"";"";"unknown";"";"";"SEN-00245";"";"";
"1";"FTDI";"M06LOCK";"1X06_LOCK";"JP6";"Header 6";"";"";"unknown";"";"";"";"";"";
"1";"ICSP";"AVR_SPI_PRG_6";"2X3_SMD_VERTICAL";"JP1";"AVR ISP 6 Pin";"";"";"unknown";"";"";"";"";"";
"1";"B3F-4150";"TACTILE_SWITCHTACTILE_SWITCH_PTH-12MM";"TACTILE-PTH-12MM";"S3";"Momentary Switch";"OMRON";"B3F4150";"1960976";"";"";"";"";"B3F-4050";
"6";"HOLDER_AAA_LEFT1";"HOLDER_AAA_LEFT1";"BATTERY-AAA-LEFT";"BH7, BH8, BH9, BH10, BH11, BH12";"";"";"";"unknown";"";"";"";"";"BC-0401";
"1";"SBT1205-3";"BUZZERNS";"BUZZER-12MM-NS";"SG1";"Buzzer 12mm";"";"";"unknown";"";"";"";"";"";

"1";"BCR185";"BCR185";"SOT23-R_INFINEON";"T3";"PNP Silicon Digital ";"ROHM";"DTA114YKAT146";"1680186";"";"";"";"";"MMUN2114LT1G";
"2";"BCR135";"BCR135";"SOT23-BEC";"T1, T2";"NPN Silicon Digital ";"INFINEON";"BCR135E6327HTSA1";"2443491RL";"";"";"";"";"MMUN2214LT1G";
"1";"IRLML6244";"IRLML2502M";"SOT-23";"M4";"";"INFINEON";"IRLML6244TRPBF";"1864517";"";"";"";"";"DMG2302U-7";
"4";"IRLML2244";"IRLML6402";"SOT-23";"M1, M2, M3, M12";"";"INFINEON";"IRLML2244TRPBF";"2468051";"";"";"";"";"DMG2305UX-7";
"10";"SD103CW";"DIODESOD-123";"SOD-123";"D2, D3, D4, D5, D7, D8, D9, D10, D11, D12";"";"MULTICOMP";"SD103CW-7-F";"2306221";"";"";"";"";"SD103AW-DIO";
"1";"HT7333 / TS9011SCY ";"HT7333";"SOT89";"U$3";"";"";"";"unknown";"";"";"";"";"TS9011SCY";
"7";"1µ";"C-EUC1206K";"C1206K";"C3, C4, C9, C14, C15, C17, C19";"CAPACITOR, European ";"";"";"unknown";"";"";"";"";"GRM31MR71C105KA";
"1";"74HC4051_MUX";"74HC4051_MUX";"SO16";"U1";"8:1 analog mux";"";"";"unknown";"";"";"";"";"4HC4051D.652";
"9";"6k8";"R-EU_R1206";"R1206";"R3, R7, R21, R22, R23, R27, R33, R34, R50";"RESISTOR, European s";"";"";"unknown";"";"";"";"";"RC0805FR-076K8";
"3";"3k3";"R-EU_R1206";"R1206";"R35, R48, R51";"RESISTOR, European s";"";"";"unknown";"";"";"";"";"RC0805FR-073K3";
"1";"1n";"CAP0805";"0805";"C11";"Capacitor";"";"";"unknown";"";"";"";"";"CC0805KPX7R7224";
"3";"15n";"C-EUC1206K";"C1206K";"C6, C10, C22";"CAPACITOR, European ";"";"";"unknown";"";"";"";"";"CC0805KRX7R9153";
"4";"220nF";"CAP0805";"0805";"C2, C12, C16, C18";"Capacitor";"";"";"unknown";"";"";"";"";"CC0805KPX7R7224";
"1";"1k";"R-EU_R1206";"R1206";"R20";"RESISTOR, European s";"";"";"unknown";"";"";"";"";"";
"2";"47n";"C-EUC1206K";"C1206K";"C5, C13";"CAPACITOR, European ";"";"";"unknown";"";"";"";"";"CC0805KRX7R9473";
"3";"22k";"R-EU_R1206";"R1206";"R6, R44, R47";"RESISTOR, European s";"";"";"unknown";"";"";"";"";"CRCW080522K0FKTABC";
"3";"47k";"R-EU_R1206";"R1206";"R1, R28, R46";"RESISTOR, European s";"";"";"unknown";"";"";"";"";"CRCW080547K0FKTABC";
"3";"150R";"R-EU_R1206";"R1206";"R31, R32, R45";"RESISTOR, European s";"";"";"unknown";"";"";"";"";"CRCW0805150RJNTABC";
"2";"47";"R-EU_R1206";"R1206";"R25, R4";"RESISTOR, European s";"";"";"unknown";"";"";"";"";"";
"2";"22pF";"C-USC0805K";"C0805K";"C7, C8";"CAPACITOR, American ";"";"";"unknown";"";"";"";"";"CL21C220JBANNNC";
